ALV-6000/E-WIN Data
Date :	"10/10/2017"
Time :	"11:29:34 AM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      69.77094
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	 -9.33350E-001
  2.50000E-004	 -3.49120E-001
  3.75000E-004	  2.90267E-001
  5.00000E-004	  5.83207E-001
  6.25000E-004	  6.92805E-001
  7.50000E-004	  7.50216E-001
  8.75000E-004	  7.64954E-001
  1.00000E-003	  7.92285E-001
  1.12500E-003	  7.81836E-001
  1.25000E-003	  8.13016E-001
  1.37500E-003	  8.08837E-001
  1.50000E-003	  8.06802E-001
  1.62500E-003	  8.16646E-001
  1.75000E-003	  8.16921E-001
  1.87500E-003	  7.93440E-001
  2.00000E-003	  7.87966E-001
  2.25000E-003	  8.06361E-001
  2.50000E-003	  7.98415E-001
  2.75000E-003	  7.90386E-001
  3.00000E-003	  8.14362E-001
  3.25000E-003	  7.99762E-001
  3.50000E-003	  7.82137E-001
  3.75000E-003	  8.07241E-001
  4.00000E-003	  7.94850E-001
  4.50000E-003	  7.86629E-001
  5.00000E-003	  7.98108E-001
  5.50000E-003	  7.92237E-001
  6.00000E-003	  7.93860E-001
  6.50000E-003	  7.84167E-001
  7.00000E-003	  7.93406E-001
  7.50000E-003	  7.91509E-001
  8.00000E-003	  7.87557E-001
  9.00000E-003	  7.78257E-001
  1.00000E-002	  7.85096E-001
  1.10000E-002	  7.82553E-001
  1.20000E-002	  7.73438E-001
  1.30000E-002	  7.79487E-001
  1.40000E-002	  7.66963E-001
  1.50000E-002	  7.66496E-001
  1.60000E-002	  7.64312E-001
  1.80000E-002	  7.65435E-001
  2.00000E-002	  7.52361E-001
  2.20000E-002	  7.53055E-001
  2.40000E-002	  7.48862E-001
  2.60000E-002	  7.47738E-001
  2.80000E-002	  7.40321E-001
  3.00000E-002	  7.32055E-001
  3.20000E-002	  7.26365E-001
  3.60000E-002	  7.21466E-001
  4.00000E-002	  7.11706E-001
  4.40000E-002	  7.04571E-001
  4.80000E-002	  6.93120E-001
  5.20000E-002	  6.85362E-001
  5.60000E-002	  6.76496E-001
  6.00000E-002	  6.65467E-001
  6.40000E-002	  6.57542E-001
