ALV-6000/E-WIN Data
Date :	"10/10/2017"
Time :	"12:08:16 PM"
Samplename : 	"Samplename needed."
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      46.66047
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	 -9.22415E-001
  2.50000E-004	 -2.86122E-001
  3.75000E-004	  3.12793E-001
  5.00000E-004	  5.48621E-001
  6.25000E-004	  6.67027E-001
  7.50000E-004	  7.10553E-001
  8.75000E-004	  7.42890E-001
  1.00000E-003	  7.65145E-001
  1.12500E-003	  7.54940E-001
  1.25000E-003	  7.64776E-001
  1.37500E-003	  7.76826E-001
  1.50000E-003	  7.52604E-001
  1.62500E-003	  7.80637E-001
  1.75000E-003	  7.73260E-001
  1.87500E-003	  7.55554E-001
  2.00000E-003	  7.63680E-001
  2.25000E-003	  7.60114E-001
  2.50000E-003	  7.77082E-001
  2.75000E-003	  7.56487E-001
  3.00000E-003	  7.55749E-001
  3.25000E-003	  7.55749E-001
  3.50000E-003	  7.59807E-001
  3.75000E-003	  7.61774E-001
  4.00000E-003	  7.59038E-001
  4.50000E-003	  7.63157E-001
  5.00000E-003	  7.63587E-001
  5.50000E-003	  7.66600E-001
  6.00000E-003	  7.51047E-001
  6.50000E-003	  7.59439E-001
  7.00000E-003	  7.59746E-001
  7.50000E-003	  7.54398E-001
  8.00000E-003	  7.61149E-001
  9.00000E-003	  7.51804E-001
  1.00000E-002	  7.46732E-001
  1.10000E-002	  7.39462E-001
  1.20000E-002	  7.40046E-001
  1.30000E-002	  7.50359E-001
  1.40000E-002	  7.32146E-001
  1.50000E-002	  7.36064E-001
  1.60000E-002	  7.36437E-001
  1.80000E-002	  7.27338E-001
  2.00000E-002	  7.22051E-001
  2.20000E-002	  7.23865E-001
  2.40000E-002	  7.14843E-001
  2.60000E-002	  7.09817E-001
  2.80000E-002	  7.11077E-001
  3.00000E-002	  6.89790E-001
  3.20000E-002	  6.88957E-001
  3.60000E-002	  6.80027E-001
  4.00000E-002	  6.72669E-001
  4.40000E-002	  6.61267E-001
  4.80000E-002	  6.49662E-001
  5.20000E-002	  6.42636E-001
  5.60000E-002	  6.32146E-001
  6.00000E-002	  6.23328E-001
  6.40000E-002	  6.14050E-001
  7.20000E-002	  5.97504E-001
  8.00000E-002	  5.81500E-001
  8.80000E-002	  5.64644E-001
  9.60000E-002	  5.52788E-001
  1.04000E-001	  5.33974E-001
  1.12000E-001	  5.22855E-001
  1.20000E-001	  5.05577E-001
  1.28000E-001	  4.93213E-001
  1.44000E-001	  4.69594E-001
  1.60000E-001	  4.43865E-001
  1.76000E-001	  4.19772E-001
  1.92000E-001	  3.99474E-001
  2.08000E-001	  3.80480E-001
  2.24000E-001	  3.59945E-001
  2.40000E-001	  3.41340E-001
  2.56000E-001	  3.24793E-001
  2.88000E-001	  2.93842E-001
  3.20000E-001	  2.65096E-001
  3.52000E-001	  2.36718E-001
  3.84000E-001	  2.12809E-001
  4.16000E-001	  1.91370E-001
  4.48000E-001	  1.71433E-001
  4.80000E-001	  1.54030E-001
  5.12000E-001	  1.36843E-001
  5.76000E-001	  1.07744E-001
  6.40000E-001	  8.49367E-002
  7.04000E-001	  6.48871E-002
  7.68000E-001	  5.03282E-002
  8.32000E-001	  3.84453E-002
  8.96000E-001	  3.02208E-002
  9.60000E-001	  2.41800E-002
  1.02400E+000	  1.85125E-002
  1.15200E+000	  1.17961E-002
  1.28000E+000	  7.72019E-003
  1.40800E+000	  5.78739E-003
  1.53600E+000	  3.96999E-003
  1.66400E+000	  3.38248E-003
  1.79200E+000	  2.89655E-003
  1.92000E+000	  2.62651E-003
  2.01600E+000	  3.38130E-003
  2.27200E+000	  3.01637E-003
  2.52800E+000	  5.16131E-003
  2.78400E+000	  4.21776E-003
  3.04000E+000	  4.63046E-003
  3.29600E+000	  3.22079E-003
  3.55200E+000	  2.30579E-003
  3.80800E+000	  1.25357E-003
  4.06400E+000	 -4.30393E-004
  4.57600E+000	 -2.12807E-003
  5.08800E+000	  2.73594E-003
  5.60000E+000	  3.11729E-003
  6.11200E+000	  2.85967E-003
  6.62400E+000	  6.06627E-003
  7.13600E+000	  8.85898E-003
  7.64800E+000	  4.32590E-003
  8.16000E+000	  2.23040E-003
  9.18400E+000	 -2.19555E-004
  1.02080E+001	  2.86560E-003
  1.12320E+001	  2.14885E-003
  1.22560E+001	  3.36964E-003
